mpg	weight	car_name
30.0	3250.	mercedes-benz 240d
44.6	1850.	honda civic 1500 gl
40.9	1835.	renault lecar deluxe
33.8	2145.	subaru dl
29.8	1845.	vokswagen rabbit
32.7	2910.	datsun 280-zx
23.7	2420.	mazda rx-7 gs
35.0	2500.	triumph tr7 coupe
23.6	2905.	ford mustang cobra
32.4	2290.	honda accord
27.2	2490.	plymouth reliant
26.6	2635.	buick skylark
25.8	2620.	dodge aries wagon (sw)
23.5	2725.	chevrolet citation
30.0	2385.	plymouth reliant
39.1	1755.	toyota starlet
39.0	1875.	plymouth champ
35.1	1760.	honda civic 1300
32.3	2065.	subaru
37.0	1975.	datsun 210 mpg
37.7	2050.	toyota tercel
34.1	1985.	mazda glc 4
34.7	2215.	plymouth horizon 4
34.4	2045.	ford escort 4w
29.9	2380.	ford escort 2h
33.0	2190.	volkswagen jetta
34.5	2320.	renault 18i
33.7	2210.	honda prelude
32.4	2350.	toyota corolla
32.9	2615.	datsun 200sx
31.6	2635.	mazda 626
28.1	3230.	peugeot 505s turbo diesel
30.7	3160.	volvo diesel
25.4	2900.	toyota cressida
24.2	2930.	datsun 810 maxima
22.4	3415.	buick century
26.6	3725.	oldsmobile cutlass ls
20.2	3060.	ford granada gl
17.6	3465.	chrysler lebaron salon
28.0	2605.	chevrolet cavalier
27.0	2640.	chevrolet cavalier wagon
34.0	2395.	chevrolet cavalier 2-door
31.0	2575.	pontiac j2000 se hatchback
29.0	2525.	dodge aries se
27.0	2735.	pontiac phoenix
24.0	2865.	ford fairmont futura
23.0	3035.	amc concord dl
36.0	1980.	volkswagen rabbit l
37.0	2025.	mazda glc custom l
31.0	1970.	mazda glc custom
38.0	2125.	plymouth horizon miser
36.0	2125.	mercury lynx l
36.0	2160.	nissan stanza xe
36.0	2205.	honda accord
34.0	2245	toyota corolla
38.0	1965.	honda civic
32.0	1965.	honda civic (auto)
38.0	1995.	datsun 310 gx
25.0	2945.	buick century limited
38.0	3015.	oldsmobile cutlass ciera (diesel)
26.0	2585.	chrysler lebaron medallion
22.0	2835	ford granada l
32.0	2665.	toyota celica gt
36.0	2370.	dodge charger 2.2
27.0	2950.	chevrolet camaro
27.0	2790.	ford mustang gl
44.0	2130.	vw pickup
32.0	2295.	dodge rampage
28.0	2625.	ford ranger
31.0	2720.	chevy s-10
